,海报图片,电影名称,信息,评分,评价人数,短评
43,https://movie.douban.com/subject/25958717/,海蒂和爷爷,导演: 阿兰·葛斯彭纳 Alain Gsponer 主演: 阿努克·斯特芬 Anuk Steffen /... 2015 / 德国 瑞士 / 剧情 冒险 家庭,9.3,664840人评价,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。
44,https://movie.douban.com/subject/1291858/,鬼子来了,导演: 姜文 Wen Jiang 主演: 姜文 Wen Jiang / 香川照之 Teruyuki Kagawa /... 2000 / 中国大陆 / 剧情 喜剧,9.3,653699人评价,对敌人的仁慈，就是对自己残忍。
45,https://movie.douban.com/subject/1929463/,少年派的奇幻漂流,导演: 李安 Ang Lee 主演: 苏拉·沙玛 Suraj Sharma / 伊尔凡·可汗 Irrfan... 2012 / 美国 中国台湾 英国 加拿大 / 剧情 奇幻 冒险,9.1,1394378人评价,瑰丽壮观、无人能及的冒险之旅。
46,https://movie.douban.com/subject/1296736/,钢琴家,导演: 罗曼·波兰斯基 Roman Polanski 主演: 艾德里安·布洛迪 Adrien Brod... 2002 / 英国 法国 波兰 德国 / 剧情 传记 战争 音乐,9.3,675088人评价,音乐能化解仇恨。
47,https://movie.douban.com/subject/1299398/,大话西游之月光宝盒,导演: 刘镇伟 Jeffrey Lau 主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng... 1995 / 中国香港 中国大陆 / 喜剧 爱情 奇幻 古装,9.0,1264657人评价,旷古烁今。
48,https://movie.douban.com/subject/1291572/,指环王2：双塔奇兵,导演: 彼得·杰克逊 Peter Jackson 主演: 伊利亚·伍德 Elijah Wood / 西恩... 2002 / 美国 新西兰 / 剧情 动作 奇幻 冒险,9.2,786132人评价,承前启后的史诗篇章。
49,https://movie.douban.com/subject/1298624/,闻香识女人,导演: 马丁·布莱斯 Martin Brest 主演: 阿尔·帕西诺 Al Pacino / 克里斯... 1992 / 美国 / 剧情,9.1,929150人评价,史上最美的探戈。
50,https://movie.douban.com/subject/1291548/,死亡诗社,导演: 彼得·威尔 Peter Weir 主演: 罗宾·威廉姆斯 Robin Williams / 罗伯... 1989 / 美国 / 剧情,9.2,768358人评价,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
51,https://movie.douban.com/subject/27060077/,绿皮书,导演: 彼得·法雷里 Peter Farrelly 主演: 维果·莫腾森 Viggo Mortensen /... 2018 / 美国 中国大陆 / 剧情 喜剧 传记 音乐,8.9,1723925人评价,去除成见，需要勇气。
52,https://movie.douban.com/subject/1418019/,大闹天宫,导演: 万籁鸣 Laiming Wan 主演: 邱岳峰 Yuefeng Qiu / 富润生 Runsheng Fu... 1961(中国大陆) / 1964(中国大陆) / 1978(中国大陆) / 中国大陆 / 剧情 动画 奇幻 古装,9.4,460197人评价,经典之作，历久弥新。
